repo_url,schema_name,helm_name,crd_path,crd_last_sha,crd_last_updated
https://github.com/aws-controllers-k8s/emrcontainers-controller,emrcontainers.services.k8s.aws,ack-emrcontainers,config/crd/bases,f59d6a5de5a0c109451476dde580cae33d40bd10,2025-12-30T19:42:04Z
https://github.com/solo-io/gloo,enterprise.gloo.solo.io,gloo,projects/gateway2/crds,426b9f233be587d0b7095cf1f3e7fe7127c60d29,2026-02-26T15:34:31Z
https://github.com/grafana/crossplane-provider-grafana,enterprise.grafana.crossplane.io,provider-grafana,package/crds,a06c471ef349203a445ddbc9054256d7040bc223,2026-02-27T21:43:26Z
https://github.com/elastic/cloud-on-k8s,enterprisesearch.k8s.elastic.co,elastic,config/crds/v1/resources,b0249d426a9fbff053f8564f6b842fe254bbf4bf,2026-02-17T13:13:01Z
https://github.com/eraser-dev/eraser,eraser.sh,eraser,config/crd/bases,6213a6511ff7e1f8350048b2a9a73c997f03d928,2024-01-17T00:17:25Z
https://github.com/k0sproject/k0s,etcd.k0sproject.io,k0s,static/manifests/calico/CustomResourceDefinition,5baab0782f7d0a52e9eee89d80821fbe06aefe87,2026-02-24T10:59:32Z
https://github.com/aws-controllers-k8s/eventbridge-controller,eventbridge.services.k8s.aws,ack-eventbridge,config/crd/bases,7d2bb1368e59fcceb40a71f1d30cc81e8ce7f909,2025-11-12T22:35:46Z
https://github.com/Azure/azure-service-operator,eventgrid.azure.com,azure-service,v2/config/crd,366a05086001f18a10e6e7453e10d9e4b1af23c1,2023-08-15T03:05:04Z
https://github.com/Azure/azure-service-operator,eventhub.azure.com,azure-service,v2/config/crd,366a05086001f18a10e6e7453e10d9e4b1af23c1,2023-08-15T03:05:04Z
https://github.com/kubeshop/testkube,executor.testkube.io,testkube,k8s/crd,44dc05b84d3ba31f6d24d01c51aa5ede5d59109f,2026-03-06T14:03:11Z
https://github.com/vshn/appcat,exoscale.appcat.vshn.io,appcat,crds,5c4e741fa174d88d53fe84d1d6c5955fbf43a5fd,2026-03-09T12:22:36Z
https://github.com/open-policy-agent/gatekeeper,expansion.gatekeeper.sh,gatekeeper,config/crd/bases,3c000d3109d9c340bff8d9a3df64d1dac98117d2,2026-01-30T21:41:04Z
https://github.com/kubevirt/kubevirt,export.kubevirt.io,kubevirt,staging/src/kubevirt.io/client-go/api,a23a67089c1a63f9303c80caec3e4b8f0e6455c6,2026-03-09T16:40:37Z
https://github.com/istio/istio,extensions.istio.io,istio,manifests/charts/base/files,f4c37d06dcd3653fb1918f8974ff0a283c1fced3,2024-10-01T20:23:30Z
https://github.com/external-secrets/external-secrets,external-secrets.io,external-secrets,config/crds/bases,0e7f4495a863cab6980c8dc0d5150d74c593716f,2026-03-06T17:22:08Z
https://github.com/open-policy-agent/gatekeeper,externaldata.gatekeeper.sh,gatekeeper,config/crd/bases,3c000d3109d9c340bff8d9a3df64d1dac98117d2,2026-01-30T21:41:04Z
https://github.com/kubernetes-sigs/external-dns,externaldns.k8s.io,external-dns,config/crd/standard,01f08ebf87191b93435fae6cfae27ad24b7620d8,2025-06-12T15:06:57Z
https://github.com/nginx/kubernetes-ingress,externaldns.nginx.org,nginx-ingress,config/crd/bases,c70092a77adef706bf80dac3b46013bc68dad1ff,2026-02-20T17:24:28Z
https://github.com/fluxcd/flagger,flagger.app,flagger,charts/flagger/crds,8018353d547c47ed2aa8e6c4c732d31185862745,2025-11-18T18:04:04Z
https://github.com/grafana/crossplane-provider-grafana,fleetmanagement.grafana.crossplane.io,provider-grafana,package/crds,a06c471ef349203a445ddbc9054256d7040bc223,2026-02-27T21:43:26Z
https://github.com/apache/flink-kubernetes-operator,flink.apache.org,flink-kubernetes,helm/flink-kubernetes-operator/crds,56af6bf3a94494923497e709faf29fb3749cd45f,2026-03-02T15:17:23Z
https://github.com/fluent/fluent-operator,fluentbit.fluent.io,fluent,config/crd/bases,84a3076ef2b7ea4f4143bb030985cb5e06a8c8de,2026-02-25T16:21:54Z
https://github.com/fluent/fluent-operator,fluentd.fluent.io,fluent,config/crd/bases,84a3076ef2b7ea4f4143bb030985cb5e06a8c8de,2026-02-25T16:21:54Z
https://github.com/controlplaneio-fluxcd/flux-operator,fluxcd.controlplane.io,flux,config/crd/bases,6c93128f587319b30fed9b573403e0efab7888e4,2026-02-27T00:00:23Z
https://github.com/grafana/crossplane-provider-grafana,frontendobservability.grafana.crossplane.io,provider-grafana,package/crds,a06c471ef349203a445ddbc9054256d7040bc223,2026-02-27T21:43:26Z
https://github.com/envoyproxy/gateway,gateway.envoyproxy.io,envoy-gateway,charts/gateway-helm/charts/crds/crds/generated,1268934e8a0243bcfc1d408ebbefc9f44497dd2f,2026-03-06T22:55:10Z
https://github.com/kubernetes-sigs/gateway-api,gateway.kgateway.dev,gateway-api,config/crd/standard,b5a9312053ce6ce164ac9ead0bf7fb0892c15bf7,2026-03-06T06:04:17Z
https://github.com/kubernetes-sigs/gateway-api,gateway.networking.k8s.io,gateway-api,config/crd/standard,b5a9312053ce6ce164ac9ead0bf7fb0892c15bf7,2026-03-06T06:04:17Z
https://github.com/kubernetes-sigs/gateway-api,gateway.networking.x-k8s.io,gateway-api,config/crd/standard,b5a9312053ce6ce164ac9ead0bf7fb0892c15bf7,2026-03-06T06:04:17Z
https://github.com/solo-io/gloo,gateway.solo.io,gloo,projects/gateway2/crds,426b9f233be587d0b7095cf1f3e7fe7127c60d29,2026-02-26T15:34:31Z
https://github.com/external-secrets/external-secrets,generators.external-secrets.io,external-secrets,config/crds/bases,0e7f4495a863cab6980c8dc0d5150d74c593716f,2026-03-06T17:22:08Z
https://github.com/emissary-ingress/emissary,getambassador.io,emissary-ingress,pkg/api/getambassador.io,368ca59863e482e55960f469e4751692a96396d0,2025-02-06T08:12:15Z
https://github.com/solo-io/gloo,gloo.solo.io,gloo,projects/gateway2/crds,426b9f233be587d0b7095cf1f3e7fe7127c60d29,2026-02-26T15:34:31Z
https://github.com/grafana/crossplane-provider-grafana,grafana.crossplane.io,provider-grafana,package/crds,a06c471ef349203a445ddbc9054256d7040bc223,2026-02-27T21:43:26Z
https://github.com/grafana/grafana-operator,grafana.integreatly.org,grafana,config/crd/bases,cba538d9b66b24f3b41b97e52327e534489ed82b,2026-02-28T07:57:18Z
https://github.com/solo-io/gloo,graphql.gloo.solo.io,gloo,projects/gateway2/crds,426b9f233be587d0b7095cf1f3e7fe7127c60d29,2026-02-26T15:34:31Z
https://github.com/gravitee-io/gravitee-kubernetes-operator,gravitee.io,gravitee,crds/gravitee.io,01fbd2a2c9c763620a32d6f8f3ae20074469becb,2026-02-27T10:01:02Z
https://github.com/kubernetes-csi/external-snapshotter,groupsnapshot.storage.k8s.io,snapshot,client/config/crd,5af2237e0e1eaa78f0a1bc34f8183a3ebe1fe1cd,2025-10-14T13:01:03Z
https://github.com/k3s-io/helm-controller,helm.cattle.io,helm,pkg/crds/yaml/generated,081f5a5571c26228550c0650c6dd46bcb39e4f78,2026-02-19T04:17:20Z
https://github.com/k0sproject/k0s,helm.k0sproject.io,k0s,static/manifests/calico/CustomResourceDefinition,5baab0782f7d0a52e9eee89d80821fbe06aefe87,2026-02-24T10:59:32Z
https://github.com/fluxcd/helm-controller,helm.toolkit.fluxcd.io,helm,config/crd/bases,b40c7985ec291535c0d5122371c786f23d58fbf4,2026-03-04T14:46:53Z
https://github.com/upbound/provider-aws,iam.aws.m.upbound.io,provider-aws,package/crds,b0ea68d6dc9593ce8d695f6d49d681cea04ce7a8,2026-03-05T12:12:16Z
https://github.com/upbound/provider-aws,iam.aws.upbound.io,provider-aws,package/crds,b0ea68d6dc9593ce8d695f6d49d681cea04ce7a8,2026-03-05T12:12:16Z
https://github.com/aws-controllers-k8s/iam-controller,iam.services.k8s.aws,ack-iam,config/crd/bases,79b2e7acbc23bc573f2c029435a511a144c299de,2025-10-03T21:40:40Z
https://github.com/vmware-tanzu/pinniped,idp.supervisor.pinniped.dev,pinniped,generated/1.35/crds,b2747a0ebe514798388fc68e199a8eb15c5e4b17,2025-12-18T21:20:41Z
https://github.com/fluxcd/image-reflector-controller,image.toolkit.fluxcd.io,image-reflector,config/crd/bases,e5ddb536643550f69a6df2ed12d829031ecb983f,2025-09-15T09:27:37Z
https://github.com/weaveworks/tf-controller,infra.contrib.fluxcd.io,tf,config/crd/bases,4df454ef09ef974fed33bca14bf480221ebbd23c,2026-01-07T10:36:22Z
https://github.com/kubernetes-sigs/cluster-api,infrastructure.cluster.x-k8s.io,cluster-api,config/crd/bases,079a2037a8c8c347e2f1c5f6d8238cc390900375,2026-03-04T12:14:28Z
https://github.com/oracle/oci-native-ingress-controller,ingress.oraclecloud.com,oci-native-ingress,deploy/manifests/oci-native-ingress-controller/crds,af8e42dcda9b93121535c6c2f45e4177f531fb23,2023-05-23T06:45:58Z
